codigo_region,region_residencia,fecha,positividad
02,Región de Antofagasta,2020-06-16,0.4418770333205803
02,Región de Antofagasta,2020-06-17,0.43663371652817407
02,Región de Antofagasta,2020-06-18,0.44232948238726316
02,Región de Antofagasta,2020-06-19,0.4439617847927614
02,Región de Antofagasta,2020-06-20,0.437671200377177
02,Región de Antofagasta,2020-06-21,0.4245725375144655
02,Región de Antofagasta,2020-06-22,0.40652813005068333
02,Región de Antofagasta,2020-06-23,0.4046980192429589
02,Región de Antofagasta,2020-06-24,0.3942946748779527
02,Región de Antofagasta,2020-06-25,0.39457976446536797
02,Región de Antofagasta,2020-06-26,0.3930691602236713
02,Región de Antofagasta,2020-06-27,0.39620395646191575
02,Región de Antofagasta,2020-06-28,0.3863865749493554
02,Región de Antofagasta,2020-06-29,0.4031907506636195
02,Región de Antofagasta,2020-06-30,0.39500792819508274
02,Región de Antofagasta,2020-07-01,0.4029712946166744
02,Región de Antofagasta,2020-07-02,0.4023922547053128
02,Región de Antofagasta,2020-07-03,0.3973432552397548
02,Región de Antofagasta,2020-07-04,0.3788324249869025
02,Región de Antofagasta,2020-07-05,0.3841783335586175
02,Región de Antofagasta,2020-07-06,0.36851306875147627
02,Región de Antofagasta,2020-07-07,0.36741833572903243
02,Región de Antofagasta,2020-07-08,0.35853842936586583
02,Región de Antofagasta,2020-07-09,0.3557288817747159
02,Región de Antofagasta,2020-07-10,0.3478428564841028
02,Región de Antofagasta,2020-07-11,0.34085236813218817
02,Región de Antofagasta,2020-07-12,0.31735985520697224
02,Región de Antofagasta,2020-07-13,0.3092747048804427
02,Región de Antofagasta,2020-07-14,0.30153006443469205
02,Región de Antofagasta,2020-07-15,0.2931164343933089
02,Región de Antofagasta,2020-07-16,0.2764228110566375
15,Región de Arica y Parinacota,2020-03-06,NA
15,Región de Arica y Parinacota,2020-03-07,NA
15,Región de Arica y Parinacota,2020-03-08,NA
15,Región de Arica y Parinacota,2020-03-13,NA
15,Región de Arica y Parinacota,2020-03-15,NA
15,Región de Arica y Parinacota,2020-03-16,NA
15,Región de Arica y Parinacota,2020-03-17,0.09523809523809523
15,Región de Arica y Parinacota,2020-03-18,0.09523809523809523
15,Región de Arica y Parinacota,2020-03-19,0.09523809523809523
15,Región de Arica y Parinacota,2020-03-20,0.09523809523809523
15,Región de Arica y Parinacota,2020-03-21,0.09943977591036414
15,Región de Arica y Parinacota,2020-03-22,0.09943977591036414
15,Región de Arica y Parinacota,2020-03-23,0.030706622271550126
15,Región de Arica y Parinacota,2020-03-24,0.009201245927464106
15,Región de Arica y Parinacota,2020-03-25,0.0112716393022053
15,Región de Arica y Parinacota,2020-03-26,0.015392518423084423
