"fecha";"media.estimado";"media.linf";"media.lsup"
2020-03-01;13.4500614998543;11.8419924141357;15.0875733267373
2020-03-08;13.4500614998543;11.8419924141357;15.0875733267373
2020-03-15;9.40243177778091;7.68292267229221;11.2935626044619
2020-03-22;10.5534937158751;9.43797563971888;11.7184632795038
2020-03-29;10.0419881650185;9.20815176503142;10.9088524482084
2020-04-04;7.81585177187026;7.37380533763084;8.27090103299309
2020-04-11;5.31260387091828;5.05935278605515;5.57847083907799
2020-04-18;3.25650504854378;3.12447573302117;3.39374450460113
2020-04-25;2.87700965125184;2.7804421724869;2.97722864898942
2020-05-02;2.7287105198954;2.66333504353705;2.79612425763899
2020-05-09;2.95056128874058;2.89240045220414;3.0111546768172
2020-05-16;3.64803068200072;3.58513527518335;3.71311991700763
2020-05-23;4.17407360680706;4.10904483293336;4.23991566120918
2020-05-30;4.13222069024415;4.07720138274809;4.18833625586193
2020-06-06;4.04839216205284;3.99606651135253;4.10184740818795
2020-06-13;3.80885622565714;3.75641773769272;3.86243362085533
2020-06-20;3.70203089762404;3.64881683843763;3.7563943158687
2020-06-27;4.97991916070526;3.76532766768748;7.04004737679676
2020-07-04;6.43946781681726;4.64119591163955;8.89394239099998
2020-07-11;3.3518340587966;2.82063313918015;5.99712956363156
2020-07-18;4.13325014798335;2.0668169032789;7.41086839266294
