"fecha";"media.estimado";"media.linf";"media.lsup"
2020-03-01;15.3503129484679;13.9258186357732;16.7183295283158
2020-03-08;15.3503129484679;13.9258186357732;16.7183295283158
2020-03-15;12.4063830217998;11.7721611960875;13.062109748408
2020-03-22;10.2886993213165;9.99033732122849;10.5964015377444
2020-03-29;9.2795265858736;8.96671422614114;9.61548434338361
2020-04-04;8.53518633060594;8.22740512384723;8.85445264032871
2020-04-11;6.94294810640506;6.69819927325944;7.19016131301528
2020-04-18;5.7505974411827;5.57142673687759;5.93294316466461
2020-04-25;6.11075591272454;5.96531699674138;6.25723667171709
2020-05-02;6.98687510372401;6.888772296991;7.08624288990587
2020-05-09;8.0591622547408;7.98545903499478;8.13602817723272
2020-05-16;8.58307826264999;8.52376224216601;8.64455723634225
2020-05-23;8.28909687390335;8.23817574736709;8.33895058744349
2020-05-30;7.40133719292295;7.35330554973605;7.45004571552224
2020-06-06;6.98086861390713;6.93388347111764;7.02913871258872
2020-06-13;5.86154932078548;5.82028528792605;5.90304175940571
2020-06-20;5.41116172801213;5.36901595190758;5.4541847673188
2020-06-27;6.26749721803632;5.27288421902666;8.2632516254675
2020-07-04;7.20363170992081;5.81566061801102;9.39296298148899
2020-07-11;5.59327052565941;4.50200476512115;9.14848975499929
2020-07-18;5.96723869514758;4.10913923036506;9.62520793158083
