fecha,Totales
2020-04-24,14.810126582278482
2020-04-25,12.403340550572208
2020-04-26,12.416514875531261
2020-04-27,11.577082102776123
2020-04-28,11.4253070551271
2020-04-29,12.949438202247178
2020-04-30,13.864388092613018
2020-05-01,16.318106769400117
2020-05-02,17.445314609775874
2020-05-03,20.539968237162526
2020-05-04,23.916944373237634
2020-05-05,27.530465058443173
2020-05-06,31.735657225853306
2020-05-07,35.84102200141945
2020-05-08,40.193147850080464
2020-05-09,41.436100131752305
2020-05-10,40.132395531650815
2020-05-11,37.81201248049922
2020-05-12,35.99779492833517
2020-05-13,36.83385579937304
2020-05-14,38.035099229129095
2020-05-15,39.605651296382554
2020-05-16,40.34543844109832
2020-05-17,41.785764822414045
2020-05-18,43.912984731793
2020-05-19,44.85172457681048
2020-05-20,43.904467680608356
2020-05-21,42.32651245551601
2020-05-22,40.75944041232777
2020-05-23,40.199600798403196
2020-05-24,38.109097737301646
2020-05-25,34.91784553202706
2020-05-26,32.55717942366443
2020-05-27,31.590873573995943
2020-05-28,32.035570168883574
2020-05-29,30.267653758542135
2020-05-30,27.899388171312033
2020-05-31,26.362748290459148
2020-06-01,25.23981562227483
2020-06-02,21.89299922807434
2020-06-03,18.09949629294244
2020-06-04,13.57923497267759
2020-06-05,10.816413309237813
2020-06-06,6.6690717930216925
2020-06-07,3.685467024768726
2020-06-08,2.1336710833982853
2020-06-09,1.9408635644798005
2020-06-10,4.532114505653116
2020-06-11,7.017123123411186
2020-06-12,10.735855437986187
2020-06-13,12.049695399817715
2020-06-14,13.57435848516645
2020-06-15,13.708160962767957
2020-06-16,13.071293781930322
2020-06-17,11.634994621728215
2020-06-18,10.236048693223951
2020-06-19,9.118541033434662
2020-06-20,7.836385015958352
2020-06-21,6.817430130643298
2020-06-22,6.288924166564904
2020-06-23,5.648787538140357
2020-06-24,5.363150603601835
2020-06-25,5.13162540703833
2020-06-26,4.712205000389424
2020-06-27,3.645934125478964
2020-06-28,1.7693014705882353
2020-06-29,0.3610108303249236
2020-06-30,-1.8407212622088722
2020-07-01,-3.213046236519013
2020-07-02,-4.444361797084188
2020-07-03,-4.850815937861757
2020-07-04,-5.200571987657102
2020-07-05,-5.600151457781143
2020-07-06,-4.952162265595108
2020-07-07,-4.3183220234423265
2020-07-08,-4.032226676526688
2020-07-09,-4.324960753532189
2020-07-10,-4.231502064147355
2020-07-11,-3.8867273675344056
2020-07-12,-4.779352552746007
2020-07-13,-6.225822050290136
2020-07-14,-7.101431642130028
2020-07-15,-7.2893592583476865
2020-07-16,-8.787200530547961
2020-07-17,-10.524997913362816
2020-07-18,-11.776396464966801
2020-07-19,-12.062223368140609
