"fecha";"prob48.estimado";"prob48.linf";"prob48.lsup"
2020-03-01;0.11830247987319;0.0656997243178382;0.183696866227289
2020-03-08;0.11830247987319;0.0656997243178382;0.183696866227289
2020-03-15;0.280028000990755;0.192261953909845;0.375774517141232
2020-03-22;0.243412342503172;0.193693946671071;0.297407547855754
2020-03-29;0.206454083529157;0.167239609281003;0.248535248062111
2020-04-04;0.232734292463899;0.206850179119981;0.259848580992835
2020-04-11;0.392665355658596;0.370997631112252;0.414430169942375
2020-04-18;0.577125648050762;0.562364037447817;0.592236440222195
2020-04-25;0.601524350923131;0.588857289489537;0.614072194325121
2020-05-02;0.605203204533324;0.595390612134069;0.614951109471351
2020-05-09;0.554377656855119;0.545757471676651;0.562943730823942
2020-05-16;0.464367381208413;0.455591181858593;0.473232716912641
2020-05-23;0.392707312686549;0.384738588532419;0.400586647164426
2020-05-30;0.385164069896718;0.377894429705213;0.392586772689916
2020-06-06;0.405052186861572;0.398250537058634;0.411933217371416
2020-06-13;0.435495547974071;0.428193886374413;0.442709318415965
2020-06-20;0.447321907348661;0.439939292617305;0.454829220389993
2020-06-27;0.452722533523679;0.41310205273403;0.477846524423244
2020-07-04;0.403393107447508;0.341265676544343;0.446234676704072
2020-07-11;0.523458103270586;0.467881259713444;0.543070093716016
2020-07-18;0.579982758618821;0.43911446571211;0.698362733915863
