codigo_provincia,provincia_residencia,fecha,positividad
122,Antártica Chilena,2020-07-08,0
021,Antofagasta,2020-03-10,NA
021,Antofagasta,2020-03-11,NA
021,Antofagasta,2020-03-13,NA
021,Antofagasta,2020-03-14,NA
021,Antofagasta,2020-03-15,NA
021,Antofagasta,2020-03-16,NA
021,Antofagasta,2020-03-17,0
021,Antofagasta,2020-03-18,0.020408163265306128
021,Antofagasta,2020-03-19,0.025510204081632657
021,Antofagasta,2020-03-20,0.05272108843537415
021,Antofagasta,2020-03-21,0.06462585034013606
021,Antofagasta,2020-03-22,0.09319727891156462
021,Antofagasta,2020-03-23,0.09752628324056896
021,Antofagasta,2020-03-24,0.10910929482358053
021,Antofagasta,2020-03-25,0.11251065536779821
021,Antofagasta,2020-03-26,0.12645623359909072
021,Antofagasta,2020-03-27,0.12305487305487303
021,Antofagasta,2020-03-28,0.12257868257868254
021,Antofagasta,2020-03-29,0.11138177138177134
021,Antofagasta,2020-03-30,0.1137491956241956
021,Antofagasta,2020-03-31,0.1703480022230022
021,Antofagasta,2020-04-01,0.21456568929783212
021,Antofagasta,2020-04-02,0.23703211176425462
021,Antofagasta,2020-04-03,0.21322258795473079
021,Antofagasta,2020-04-04,0.21806888090228957
021,Antofagasta,2020-04-05,0.2006943635277722
021,Antofagasta,2020-04-06,0.2044508966288175
021,Antofagasta,2020-04-07,0.15055479273271358
021,Antofagasta,2020-04-08,0.10664632025281254
021,Antofagasta,2020-04-09,0.08497354858004087
021,Antofagasta,2020-04-10,0.10946334449840821
021,Antofagasta,2020-04-11,0.10297321593441108
021,Antofagasta,2020-04-12,0.12140639565791338
021,Antofagasta,2020-04-13,0.13345062183695808
021,Antofagasta,2020-04-14,0.1482911211434768
021,Antofagasta,2020-04-15,0.13715939572603714
021,Antofagasta,2020-04-16,0.13822404922971504
021,Antofagasta,2020-04-17,0.14230568188277626
021,Antofagasta,2020-04-18,0.15589756944726657
021,Antofagasta,2020-04-19,0.1740944263538009
021,Antofagasta,2020-04-20,0.18031594247871824
021,Antofagasta,2020-04-21,0.18024541895912446
021,Antofagasta,2020-04-22,0.18665875870579754
021,Antofagasta,2020-04-23,0.19188523954203449
021,Antofagasta,2020-04-24,0.18187716851701433
021,Antofagasta,2020-04-25,0.1804785671184129
021,Antofagasta,2020-04-26,0.15929254593239173
021,Antofagasta,2020-04-27,0.15112882653971735
021,Antofagasta,2020-04-28,0.15582509879046905
021,Antofagasta,2020-04-29,0.16290257856909823
021,Antofagasta,2020-04-30,0.1656351450337061
021,Antofagasta,2020-05-01,0.16937143905524196
021,Antofagasta,2020-05-02,0.169663922237459
021,Antofagasta,2020-05-03,0.187760279464251
021,Antofagasta,2020-05-04,0.18572381339900795
021,Antofagasta,2020-05-05,0.18953053652162646
021,Antofagasta,2020-05-06,0.18992681999233804
021,Antofagasta,2020-05-07,0.18736570422182894
021,Antofagasta,2020-05-08,0.18638801427435375
021,Antofagasta,2020-05-09,0.18906720730324958
021,Antofagasta,2020-05-10,0.19087293183420945
021,Antofagasta,2020-05-11,0.21458590445229153
021,Antofagasta,2020-05-12,0.22362767737144637
021,Antofagasta,2020-05-13,0.22504893750988259
021,Antofagasta,2020-05-14,0.2255941201219345
021,Antofagasta,2020-05-15,0.223468587072894
021,Antofagasta,2020-05-16,0.2194470053532769
021,Antofagasta,2020-05-17,0.2194311692882224
021,Antofagasta,2020-05-18,0.19970098636721567
021,Antofagasta,2020-05-19,0.18210705447050682
