codigo_comuna,comuna_residencia,fecha,positividad
05109,vina del mar,2020-03-02,NA
05706,santa maria,2020-03-02,NA
08301,los angeles,2020-03-02,NA
10101,puerto montt,2020-03-02,NA
11101,coyhaique,2020-03-02,NA
13111,la granja,2020-03-02,NA
13114,las condes,2020-03-02,NA
13115,lo barnechea,2020-03-02,NA
13121,pedro aguirre cerda,2020-03-02,NA
13132,vitacura,2020-03-02,NA
04101,la serena,2020-03-03,NA
04102,coquimbo,2020-03-03,NA
04301,ovalle,2020-03-03,NA
05101,valparaiso,2020-03-03,NA
05103,con con,2020-03-03,NA
05109,vina del mar,2020-03-03,NA
05303,rinconada,2020-03-03,NA
05405,zapallar,2020-03-03,NA
05601,san antonio,2020-03-03,NA
05801,quilpue,2020-03-03,NA
05804,villa alemana,2020-03-03,NA
07101,talca,2020-03-03,NA
07401,linares,2020-03-03,NA
08110,talcahuano,2020-03-03,NA
08301,los angeles,2020-03-03,NA
09211,victoria,2020-03-03,NA
13113,la reina,2020-03-03,NA
13115,lo barnechea,2020-03-03,NA
13130,san miguel,2020-03-03,NA
13132,vitacura,2020-03-03,NA
14101,valdivia,2020-03-03,NA
01107,alto hospicio,2020-03-04,NA
03101,copiapo,2020-03-04,NA
04102,coquimbo,2020-03-04,NA
04201,illapel,2020-03-04,NA
05101,valparaiso,2020-03-04,NA
05804,villa alemana,2020-03-04,NA
07101,talca,2020-03-04,NA
07105,maule,2020-03-04,NA
08101,concepcion,2020-03-04,NA
08102,coronel,2020-03-04,NA
08106,lota,2020-03-04,NA
08108,san pedro de la paz,2020-03-04,NA
08110,talcahuano,2020-03-04,NA
08301,los angeles,2020-03-04,NA
09101,temuco,2020-03-04,NA
09106,galvarino,2020-03-04,NA
10206,puqueldon,2020-03-04,NA
11101,coyhaique,2020-03-04,NA
13101,santiago,2020-03-04,NA
13103,cerro navia,2020-03-04,NA
13104,conchali,2020-03-04,NA
13105,el bosque,2020-03-04,NA
13107,huechuraba,2020-03-04,NA
13108,independencia,2020-03-04,NA
13109,la cisterna,2020-03-04,NA
13110,la florida,2020-03-04,NA
13113,la reina,2020-03-04,NA
13114,las condes,2020-03-04,NA
13116,lo espejo,2020-03-04,NA
13117,lo prado,2020-03-04,NA
13119,maipu,2020-03-04,NA
13120,nunoa,2020-03-04,NA
13121,pedro aguirre cerda,2020-03-04,NA
13123,providencia,2020-03-04,NA
13125,quilicura,2020-03-04,NA
13126,quinta normal,2020-03-04,NA
13127,recoleta,2020-03-04,NA
13130,san miguel,2020-03-04,NA
13301,colina,2020-03-04,NA
13302,lampa,2020-03-04,NA
16101,chillan,2020-03-04,NA
01101,iquique,2020-03-05,NA
01107,alto hospicio,2020-03-05,NA
02201,calama,2020-03-05,NA
04201,illapel,2020-03-05,NA
05101,valparaiso,2020-03-05,NA
05804,villa alemana,2020-03-05,NA
07101,talca,2020-03-05,NA
07301,curico,2020-03-05,NA
08101,concepcion,2020-03-05,NA
08301,los angeles,2020-03-05,NA
09101,temuco,2020-03-05,NA
11301,cochrane,2020-03-05,NA
13101,santiago,2020-03-05,NA
13114,las condes,2020-03-05,NA
13119,maipu,2020-03-05,NA
13123,providencia,2020-03-05,NA
16101,chillan,2020-03-05,NA
01101,iquique,2020-03-06,NA
02201,calama,2020-03-06,NA
06101,rancagua,2020-03-06,NA
07101,talca,2020-03-06,NA
07301,curico,2020-03-06,NA
07401,linares,2020-03-06,NA
08301,los angeles,2020-03-06,NA
13101,santiago,2020-03-06,NA
13114,las condes,2020-03-06,NA
13119,maipu,2020-03-06,NA
13201,puente alto,2020-03-06,NA
14101,valdivia,2020-03-06,NA
15101,arica,2020-03-06,NA
16101,chillan,2020-03-06,NA
01101,iquique,2020-03-07,NA
06101,rancagua,2020-03-07,NA
06106,graneros,2020-03-07,NA
07101,talca,2020-03-07,NA
07301,curico,2020-03-07,NA
07401,linares,2020-03-07,NA
07406,san javier,2020-03-07,NA
08101,concepcion,2020-03-07,NA
10101,puerto montt,2020-03-07,NA
12101,punta arenas,2020-03-07,NA
13113,la reina,2020-03-07,NA
13114,las condes,2020-03-07,NA
13115,lo barnechea,2020-03-07,NA
13120,nunoa,2020-03-07,NA
13126,quinta normal,2020-03-07,NA
13201,puente alto,2020-03-07,NA
15101,arica,2020-03-07,NA
01101,iquique,2020-03-08,NA
04301,ovalle,2020-03-08,NA
05109,vina del mar,2020-03-08,NA
05303,rinconada,2020-03-08,NA
05501,quillota,2020-03-08,NA
07101,talca,2020-03-08,NA
10402,futaleufu,2020-03-08,NA
12101,punta arenas,2020-03-08,NA
13110,la florida,2020-03-08,NA
13114,las condes,2020-03-08,NA
13115,lo barnechea,2020-03-08,NA
13132,vitacura,2020-03-08,NA
15101,arica,2020-03-08,NA
16101,chillan,2020-03-08,NA
03301,vallenar,2020-03-09,NA
04102,coquimbo,2020-03-09,NA
04301,ovalle,2020-03-09,NA
05109,vina del mar,2020-03-09,NA
05804,villa alemana,2020-03-09,NA
06101,rancagua,2020-03-09,NA
07101,talca,2020-03-09,0.163265306122449
07109,san clemente,2020-03-09,NA
07202,chanco,2020-03-09,NA
07406,san javier,2020-03-09,NA
08108,san pedro de la paz,2020-03-09,NA
08110,talcahuano,2020-03-09,NA
08301,los angeles,2020-03-09,NA
08304,laja,2020-03-09,NA
09101,temuco,2020-03-09,NA
10202,ancud,2020-03-09,NA
13107,huechuraba,2020-03-09,NA
13119,maipu,2020-03-09,NA
13120,nunoa,2020-03-09,NA
13123,providencia,2020-03-09,NA
13126,quinta normal,2020-03-09,NA
13132,vitacura,2020-03-09,NA
13201,puente alto,2020-03-09,NA
01101,iquique,2020-03-10,NA
02101,antofagasta,2020-03-10,NA
04101,la serena,2020-03-10,NA
04106,vicuna,2020-03-10,NA
04301,ovalle,2020-03-10,NA
05301,los andes,2020-03-10,NA
05405,zapallar,2020-03-10,NA
06101,rancagua,2020-03-10,NA
07101,talca,2020-03-10,0.19183673469387758
07109,san clemente,2020-03-10,NA
07406,san javier,2020-03-10,NA
08103,chiguayante,2020-03-10,NA
08301,los angeles,2020-03-10,0
09101,temuco,2020-03-10,NA
09112,padre las casas,2020-03-10,NA
09119,vilcun,2020-03-10,NA
12101,punta arenas,2020-03-10,NA
13101,santiago,2020-03-10,NA
13107,huechuraba,2020-03-10,NA
13109,la cisterna,2020-03-10,NA
13110,la florida,2020-03-10,NA
13114,las condes,2020-03-10,0.18071965628356607
13115,lo barnechea,2020-03-10,NA
13118,macul,2020-03-10,NA
13119,maipu,2020-03-10,NA
13120,nunoa,2020-03-10,NA
13122,penalolen,2020-03-10,NA
13123,providencia,2020-03-10,NA
13124,pudahuel,2020-03-10,NA
13125,quilicura,2020-03-10,NA
13129,san joaquin,2020-03-10,NA
13132,vitacura,2020-03-10,NA
13201,puente alto,2020-03-10,NA
13301,colina,2020-03-10,NA
13302,lampa,2020-03-10,NA
14101,valdivia,2020-03-10,NA
14201,la union,2020-03-10,NA
16106,pinto,2020-03-10,NA
01101,iquique,2020-03-11,NA
02101,antofagasta,2020-03-11,NA
04101,la serena,2020-03-11,NA
05601,san antonio,2020-03-11,NA
05801,quilpue,2020-03-11,NA
05802,limache,2020-03-11,NA
06101,rancagua,2020-03-11,NA
06301,san fernando,2020-03-11,NA
06308,placilla,2020-03-11,NA
07101,talca,2020-03-11,0.16802721088435374
07108,rio claro,2020-03-11,NA
08101,concepcion,2020-03-11,NA
08304,laja,2020-03-11,NA
09101,temuco,2020-03-11,NA
09112,padre las casas,2020-03-11,NA
10101,puerto montt,2020-03-11,NA
10301,osorno,2020-03-11,NA
11101,coyhaique,2020-03-11,NA
12401,natales,2020-03-11,NA
13101,santiago,2020-03-11,NA
13106,estacion central,2020-03-11,NA
13110,la florida,2020-03-11,NA
13113,la reina,2020-03-11,NA
13114,las condes,2020-03-11,0.21133190118152528
13115,lo barnechea,2020-03-11,NA
13117,lo prado,2020-03-11,NA
13119,maipu,2020-03-11,NA
13120,nunoa,2020-03-11,NA
13122,penalolen,2020-03-11,NA
13123,providencia,2020-03-11,NA
13129,san joaquin,2020-03-11,NA
13130,san miguel,2020-03-11,NA
13132,vitacura,2020-03-11,NA
13202,pirque,2020-03-11,NA
16101,chillan,2020-03-11,NA
01101,iquique,2020-03-12,0
02203,san pedro de atacama,2020-03-12,NA
04101,la serena,2020-03-12,NA
05101,valparaiso,2020-03-12,NA
05103,con con,2020-03-12,NA
05703,llaillay,2020-03-12,NA
05801,quilpue,2020-03-12,NA
06101,rancagua,2020-03-12,NA
06108,machali,2020-03-12,NA
06303,chimbarongo,2020-03-12,NA
07308,teno,2020-03-12,NA
07403,longavi,2020-03-12,NA
08101,concepcion,2020-03-12,NA
08107,penco,2020-03-12,NA
08110,talcahuano,2020-03-12,NA
08304,laja,2020-03-12,NA
08309,quilleco,2020-03-12,NA
09101,temuco,2020-03-12,NA
09112,padre las casas,2020-03-12,NA
09119,vilcun,2020-03-12,NA
09211,victoria,2020-03-12,NA
10101,puerto montt,2020-03-12,NA
10109,puerto varas,2020-03-12,NA
10301,osorno,2020-03-12,NA
12101,punta arenas,2020-03-12,NA
13101,santiago,2020-03-12,NA
13103,cerro navia,2020-03-12,NA
13107,huechuraba,2020-03-12,NA
13109,la cisterna,2020-03-12,NA
13110,la florida,2020-03-12,NA
13111,la granja,2020-03-12,NA
13113,la reina,2020-03-12,NA
13114,las condes,2020-03-12,0.11269244539921232
13115,lo barnechea,2020-03-12,0.18452380952380953
13116,lo espejo,2020-03-12,NA
13119,maipu,2020-03-12,0.09523809523809525
13120,nunoa,2020-03-12,NA
13122,penalolen,2020-03-12,NA
13123,providencia,2020-03-12,NA
13124,pudahuel,2020-03-12,NA
13128,renca,2020-03-12,NA
13132,vitacura,2020-03-12,0.20793650793650795
13202,pirque,2020-03-12,NA
13301,colina,2020-03-12,NA
13302,lampa,2020-03-12,NA
13401,san bernardo,2020-03-12,NA
13503,curacavi,2020-03-12,NA
14101,valdivia,2020-03-12,NA
16101,chillan,2020-03-12,NA
16301,san carlos,2020-03-12,NA
01101,iquique,2020-03-13,0
02101,antofagasta,2020-03-13,NA
04101,la serena,2020-03-13,NA
04102,coquimbo,2020-03-13,NA
05101,valparaiso,2020-03-13,NA
05109,vina del mar,2020-03-13,NA
05201,isla de pascua,2020-03-13,NA
05301,los andes,2020-03-13,NA
05502,calera,2020-03-13,NA
05504,la cruz,2020-03-13,NA
05602,algarrobo,2020-03-13,NA
05606,santo domingo,2020-03-13,NA
05701,san felipe,2020-03-13,NA
06101,rancagua,2020-03-13,0
06108,machali,2020-03-13,NA
06301,san fernando,2020-03-13,NA
06307,peralillo,2020-03-13,NA
07101,talca,2020-03-13,0.23945578231292516
07105,maule,2020-03-13,NA
07301,curico,2020-03-13,NA
07304,molina,2020-03-13,NA
07307,sagrada familia,2020-03-13,NA
07404,parral,2020-03-13,NA
08101,concepcion,2020-03-13,NA
08103,chiguayante,2020-03-13,NA
08108,san pedro de la paz,2020-03-13,NA
08110,talcahuano,2020-03-13,NA
08112,hualpen,2020-03-13,NA
08301,los angeles,2020-03-13,0
09101,temuco,2020-03-13,0.15918367346938775
09102,carahue,2020-03-13,NA
09106,galvarino,2020-03-13,NA
09112,padre las casas,2020-03-13,NA
09115,pucon,2020-03-13,NA
10101,puerto montt,2020-03-13,NA
10301,osorno,2020-03-13,NA
11101,coyhaique,2020-03-13,NA
11301,cochrane,2020-03-13,NA
13101,santiago,2020-03-13,0.10714285714285714
13102,cerrillos,2020-03-13,NA
13104,conchali,2020-03-13,NA
13105,el bosque,2020-03-13,NA
13106,estacion central,2020-03-13,NA
13107,huechuraba,2020-03-13,NA
13108,independencia,2020-03-13,NA
13109,la cisterna,2020-03-13,NA
13110,la florida,2020-03-13,NA
13112,la pintana,2020-03-13,NA
13113,la reina,2020-03-13,NA
13114,las condes,2020-03-13,0.13347166617843312
13115,lo barnechea,2020-03-13,0.18452380952380953
13117,lo prado,2020-03-13,NA
13118,macul,2020-03-13,NA
13119,maipu,2020-03-13,0
13120,nunoa,2020-03-13,0.11607142857142858
13121,pedro aguirre cerda,2020-03-13,NA
13122,penalolen,2020-03-13,NA
13123,providencia,2020-03-13,0.1836080586080586
13125,quilicura,2020-03-13,NA
13126,quinta normal,2020-03-13,NA
13127,recoleta,2020-03-13,NA
13128,renca,2020-03-13,NA
13129,san joaquin,2020-03-13,NA
13130,san miguel,2020-03-13,NA
13131,san ramon,2020-03-13,NA
13132,vitacura,2020-03-13,0.25079365079365085
13201,puente alto,2020-03-13,NA
13203,san jose de maipo,2020-03-13,NA
13301,colina,2020-03-13,NA
13302,lampa,2020-03-13,NA
13402,buin,2020-03-13,NA
13403,calera de tango,2020-03-13,NA
13501,melipilla,2020-03-13,NA
13604,padre hurtado,2020-03-13,NA
13605,penaflor,2020-03-13,NA
15101,arica,2020-03-13,NA
16101,chillan,2020-03-13,0.11932773109243698
16102,bulnes,2020-03-13,NA
16103,chillan viejo,2020-03-13,NA
16104,el carmen,2020-03-13,NA
16108,san ignacio,2020-03-13,NA
01101,iquique,2020-03-14,0
02101,antofagasta,2020-03-14,NA
02102,mejillones,2020-03-14,NA
03101,copiapo,2020-03-14,NA
04101,la serena,2020-03-14,NA
04102,coquimbo,2020-03-14,NA
05101,valparaiso,2020-03-14,NA
05103,con con,2020-03-14,NA
05109,vina del mar,2020-03-14,NA
05301,los andes,2020-03-14,NA
05401,la ligua,2020-03-14,NA
05606,santo domingo,2020-03-14,NA
05703,llaillay,2020-03-14,NA
05801,quilpue,2020-03-14,NA
05804,villa alemana,2020-03-14,NA
06101,rancagua,2020-03-14,0
06108,machali,2020-03-14,NA
07101,talca,2020-03-14,0.23945578231292516
07201,cauquenes,2020-03-14,NA
07301,curico,2020-03-14,NA
07305,rauco,2020-03-14,NA
07307,sagrada familia,2020-03-14,NA
08101,concepcion,2020-03-14,0.03571428571428571
08103,chiguayante,2020-03-14,NA
08107,penco,2020-03-14,NA
08108,san pedro de la paz,2020-03-14,NA
08111,tome,2020-03-14,NA
08201,lebu,2020-03-14,NA
08301,los angeles,2020-03-14,0
08303,cabrero,2020-03-14,NA
08312,tucapel,2020-03-14,NA
09101,temuco,2020-03-14,0.17755102040816326
09105,freire,2020-03-14,NA
09112,padre las casas,2020-03-14,NA
09114,pitrufquen,2020-03-14,NA
09120,villarrica,2020-03-14,NA
09210,traiguen,2020-03-14,NA
10101,puerto montt,2020-03-14,NA
10109,puerto varas,2020-03-14,NA
10201,castro,2020-03-14,NA
10301,osorno,2020-03-14,NA
12101,punta arenas,2020-03-14,NA
13101,santiago,2020-03-14,0.10439560439560439
13103,cerro navia,2020-03-14,NA
13105,el bosque,2020-03-14,NA
13106,estacion central,2020-03-14,NA
13107,huechuraba,2020-03-14,NA
13108,independencia,2020-03-14,NA
13109,la cisterna,2020-03-14,NA
13110,la florida,2020-03-14,0.11538461538461539
13111,la granja,2020-03-14,NA
13113,la reina,2020-03-14,0.22619047619047622
13114,las condes,2020-03-14,0.161532890668229
13115,lo barnechea,2020-03-14,0.22654061624649863
13116,lo espejo,2020-03-14,NA
13118,macul,2020-03-14,NA
13119,maipu,2020-03-14,0
13120,nunoa,2020-03-14,0.1055672268907563
13122,penalolen,2020-03-14,NA
13123,providencia,2020-03-14,0.19721350078492936
13124,pudahuel,2020-03-14,NA
13125,quilicura,2020-03-14,NA
13126,quinta normal,2020-03-14,NA
13127,recoleta,2020-03-14,NA
13130,san miguel,2020-03-14,NA
13131,san ramon,2020-03-14,NA
13132,vitacura,2020-03-14,0.21507936507936512
13201,puente alto,2020-03-14,NA
13301,colina,2020-03-14,NA
13302,lampa,2020-03-14,NA
13401,san bernardo,2020-03-14,NA
13402,buin,2020-03-14,NA
13605,penaflor,2020-03-14,NA
14101,valdivia,2020-03-14,NA
14204,rio bueno,2020-03-14,NA
16101,chillan,2020-03-14,0.11932773109243698
16103,chillan viejo,2020-03-14,NA
01101,iquique,2020-03-15,0
02101,antofagasta,2020-03-15,NA
03101,copiapo,2020-03-15,NA
03301,vallenar,2020-03-15,NA
04101,la serena,2020-03-15,0
04102,coquimbo,2020-03-15,NA
05101,valparaiso,2020-03-15,0.04761904761904762
05109,vina del mar,2020-03-15,0.07142857142857142
05701,san felipe,2020-03-15,NA
05801,quilpue,2020-03-15,NA
05804,villa alemana,2020-03-15,NA
06101,rancagua,2020-03-15,0.07142857142857142
06108,machali,2020-03-15,NA
07101,talca,2020-03-15,0.1680272108843537
07104,empedrado,2020-03-15,NA
07301,curico,2020-03-15,NA
07401,linares,2020-03-15,NA
07402,colbun,2020-03-15,NA
08101,concepcion,2020-03-15,0.07142857142857142
08103,chiguayante,2020-03-15,NA
08104,florida,2020-03-15,NA
08105,hualqui,2020-03-15,NA
08108,san pedro de la paz,2020-03-15,NA
08110,talcahuano,2020-03-15,NA
08112,hualpen,2020-03-15,NA
08301,los angeles,2020-03-15,0
09101,temuco,2020-03-15,0.23599257884972172
09109,loncoche,2020-03-15,NA
09112,padre las casas,2020-03-15,NA
09114,pitrufquen,2020-03-15,NA
09115,pucon,2020-03-15,NA
09119,vilcun,2020-03-15,NA
09201,angol,2020-03-15,NA
09211,victoria,2020-03-15,NA
10101,puerto montt,2020-03-15,0
10105,frutillar,2020-03-15,NA
10107,llanquihue,2020-03-15,NA
10109,puerto varas,2020-03-15,NA
10301,osorno,2020-03-15,NA
11101,coyhaique,2020-03-15,NA
12101,punta arenas,2020-03-15,NA
13101,santiago,2020-03-15,0.16868131868131866
13106,estacion central,2020-03-15,NA
13107,huechuraba,2020-03-15,0.19999999999999998
13108,independencia,2020-03-15,NA
13109,la cisterna,2020-03-15,NA
13110,la florida,2020-03-15,0.08075258075258075
13111,la granja,2020-03-15,NA
13112,la pintana,2020-03-15,NA
13113,la reina,2020-03-15,0.2420634920634921
13114,las condes,2020-03-15,0.13942404713081405
13115,lo barnechea,2020-03-15,0.25251464222052455
13118,macul,2020-03-15,NA
13119,maipu,2020-03-15,0
13120,nunoa,2020-03-15,0.15102177234530176
13122,penalolen,2020-03-15,NA
13123,providencia,2020-03-15,0.22399921507064363
13124,pudahuel,2020-03-15,NA
13125,quilicura,2020-03-15,NA
13126,quinta normal,2020-03-15,NA
13127,recoleta,2020-03-15,NA
13128,renca,2020-03-15,NA
13129,san joaquin,2020-03-15,NA
13130,san miguel,2020-03-15,NA
13131,san ramon,2020-03-15,NA
13132,vitacura,2020-03-15,0.2443833943833944
13201,puente alto,2020-03-15,0.09722222222222222
13203,san jose de maipo,2020-03-15,NA
13301,colina,2020-03-15,NA
13302,lampa,2020-03-15,NA
13401,san bernardo,2020-03-15,NA
13402,buin,2020-03-15,NA
13404,paine,2020-03-15,NA
13501,melipilla,2020-03-15,NA
13503,curacavi,2020-03-15,NA
13601,talagante,2020-03-15,NA
13604,padre hurtado,2020-03-15,NA
13605,penaflor,2020-03-15,NA
14101,valdivia,2020-03-15,NA
14201,la union,2020-03-15,NA
15101,arica,2020-03-15,NA
16101,chillan,2020-03-15,0.17947810703228662
16102,bulnes,2020-03-15,NA
16301,san carlos,2020-03-15,NA
01101,iquique,2020-03-16,0
02101,antofagasta,2020-03-16,NA
02201,calama,2020-03-16,NA
03101,copiapo,2020-03-16,NA
03301,vallenar,2020-03-16,NA
04101,la serena,2020-03-16,0
04104,la higuera,2020-03-16,NA
04301,ovalle,2020-03-16,NA
05101,valparaiso,2020-03-16,0.07142857142857142
05109,vina del mar,2020-03-16,0.07142857142857142
05201,isla de pascua,2020-03-16,NA
05301,los andes,2020-03-16,NA
05502,calera,2020-03-16,NA
05504,la cruz,2020-03-16,NA
05601,san antonio,2020-03-16,NA
05701,san felipe,2020-03-16,NA
05801,quilpue,2020-03-16,NA
05802,limache,2020-03-16,NA
05804,villa alemana,2020-03-16,0.07142857142857142
06101,rancagua,2020-03-16,0.11904761904761905
06108,machali,2020-03-16,NA
06116,requinoa,2020-03-16,NA
06117,san vicente,2020-03-16,NA
06310,santa cruz,2020-03-16,NA
07101,talca,2020-03-16,0.1680272108843537
07108,rio claro,2020-03-16,NA
07201,cauquenes,2020-03-16,NA
07301,curico,2020-03-16,0.028571428571428564
07304,molina,2020-03-16,NA
07307,sagrada familia,2020-03-16,NA
07308,teno,2020-03-16,NA
07401,linares,2020-03-16,NA
07403,longavi,2020-03-16,NA
07406,san javier,2020-03-16,NA
08101,concepcion,2020-03-16,0.082010582010582
08102,coronel,2020-03-16,NA
08103,chiguayante,2020-03-16,NA
08104,florida,2020-03-16,NA
08105,hualqui,2020-03-16,NA
08107,penco,2020-03-16,NA
08108,san pedro de la paz,2020-03-16,NA
08110,talcahuano,2020-03-16,0.04761904761904762
08112,hualpen,2020-03-16,NA
08202,arauco,2020-03-16,NA
08301,los angeles,2020-03-16,0.012987012987012991
08302,antuco,2020-03-16,NA
08303,cabrero,2020-03-16,NA
08304,laja,2020-03-16,NA
08305,mulchen,2020-03-16,NA
09101,temuco,2020-03-16,0.2861856290427719
09102,carahue,2020-03-16,NA
09106,galvarino,2020-03-16,NA
09112,padre las casas,2020-03-16,0.2976190476190476
09114,pitrufquen,2020-03-16,NA
09115,pucon,2020-03-16,NA
09118,tolten,2020-03-16,NA
09119,vilcun,2020-03-16,NA
09120,villarrica,2020-03-16,NA
09201,angol,2020-03-16,NA
09202,collipulli,2020-03-16,NA
09203,curacautin,2020-03-16,NA
09205,lonquimay,2020-03-16,NA
09210,traiguen,2020-03-16,NA
09211,victoria,2020-03-16,NA
10101,puerto montt,2020-03-16,0
10107,llanquihue,2020-03-16,NA
10109,puerto varas,2020-03-16,NA
10301,osorno,2020-03-16,NA
11101,coyhaique,2020-03-16,NA
11201,aisen,2020-03-16,NA
12101,punta arenas,2020-03-16,0.11904761904761904
13101,santiago,2020-03-16,0.19439560439560438
13102,cerrillos,2020-03-16,NA
13103,cerro navia,2020-03-16,NA
13104,conchali,2020-03-16,NA
13105,el bosque,2020-03-16,NA
13106,estacion central,2020-03-16,NA
13107,huechuraba,2020-03-16,0.11092436974789914
13108,independencia,2020-03-16,NA
13109,la cisterna,2020-03-16,0.020408163265306128
13110,la florida,2020-03-16,0.09579017473754316
13111,la granja,2020-03-16,NA
13112,la pintana,2020-03-16,NA
13113,la reina,2020-03-16,0.1727994227994228
13114,las condes,2020-03-16,0.15890456661133354
13115,lo barnechea,2020-03-16,0.20108607079195315
13116,lo espejo,2020-03-16,NA
13117,lo prado,2020-03-16,NA
13118,macul,2020-03-16,NA
13119,maipu,2020-03-16,0.025974025974025965
13120,nunoa,2020-03-16,0.1688789152024446
13121,pedro aguirre cerda,2020-03-16,NA
13122,penalolen,2020-03-16,0.08988095238095237
13123,providencia,2020-03-16,0.2428671395989455
13124,pudahuel,2020-03-16,NA
13125,quilicura,2020-03-16,NA
13126,quinta normal,2020-03-16,0.2380952380952381
13127,recoleta,2020-03-16,NA
13128,renca,2020-03-16,NA
13129,san joaquin,2020-03-16,NA
13130,san miguel,2020-03-16,0.15584415584415584
13131,san ramon,2020-03-16,NA
13132,vitacura,2020-03-16,0.2690139362553156
13201,puente alto,2020-03-16,0.11150793650793651
13202,pirque,2020-03-16,NA
13203,san jose de maipo,2020-03-16,NA
13301,colina,2020-03-16,0.12424242424242427
13302,lampa,2020-03-16,0
13401,san bernardo,2020-03-16,NA
13402,buin,2020-03-16,NA
13404,paine,2020-03-16,NA
13501,melipilla,2020-03-16,NA
13502,alhue,2020-03-16,NA
13601,talagante,2020-03-16,NA
13603,isla de maipo,2020-03-16,NA
13604,padre hurtado,2020-03-16,NA
13605,penaflor,2020-03-16,NA
14101,valdivia,2020-03-16,0
14201,la union,2020-03-16,NA
15101,arica,2020-03-16,NA
16101,chillan,2020-03-16,0.2029862444644747
16102,bulnes,2020-03-16,NA
16103,chillan viejo,2020-03-16,NA
16106,pinto,2020-03-16,NA
16107,quillon,2020-03-16,NA
16108,san ignacio,2020-03-16,NA
16109,yungay,2020-03-16,NA
16201,quirihue,2020-03-16,NA
16301,san carlos,2020-03-16,NA
16302,coihueco,2020-03-16,NA
01101,iquique,2020-03-17,0
01404,huara,2020-03-17,NA
01405,pica,2020-03-17,NA
02101,antofagasta,2020-03-17,0
02201,calama,2020-03-17,NA
03101,copiapo,2020-03-17,NA
03102,caldera,2020-03-17,NA
03303,freirina,2020-03-17,NA
04101,la serena,2020-03-17,0
04102,coquimbo,2020-03-17,0
04201,illapel,2020-03-17,NA
04203,los vilos,2020-03-17,NA
04301,ovalle,2020-03-17,NA
05101,valparaiso,2020-03-17,0.08095238095238096
05109,vina del mar,2020-03-17,0.0974025974025974
05301,los andes,2020-03-17,NA
05302,calle larga,2020-03-17,NA
05303,rinconada,2020-03-17,NA
05502,calera,2020-03-17,NA
05601,san antonio,2020-03-17,NA
05701,san felipe,2020-03-17,NA
05801,quilpue,2020-03-17,0.017857142857142856
05803,olmue,2020-03-17,NA
05804,villa alemana,2020-03-17,0
06101,rancagua,2020-03-17,0.11904761904761905
06103,coinco,2020-03-17,NA
06106,graneros,2020-03-17,NA
06108,machali,2020-03-17,NA
06110,mostazal,2020-03-17,NA
06116,requinoa,2020-03-17,NA
06301,san fernando,2020-03-17,NA
06310,santa cruz,2020-03-17,NA
07101,talca,2020-03-17,0.1476190476190476
07102,constitucion,2020-03-17,NA
07105,maule,2020-03-17,NA
07201,cauquenes,2020-03-17,NA
07301,curico,2020-03-17,0.05714285714285713
07302,hualane,2020-03-17,NA
07303,licanten,2020-03-17,NA
07304,molina,2020-03-17,NA
07307,sagrada familia,2020-03-17,NA
07401,linares,2020-03-17,NA
07405,retiro,2020-03-17,NA
07406,san javier,2020-03-17,NA
08101,concepcion,2020-03-17,0.09259259259259259
08102,coronel,2020-03-17,NA
08103,chiguayante,2020-03-17,NA
08105,hualqui,2020-03-17,NA
08107,penco,2020-03-17,NA
08108,san pedro de la paz,2020-03-17,0.04761904761904762
08110,talcahuano,2020-03-17,0.04761904761904762
08112,hualpen,2020-03-17,NA
08204,contulmo,2020-03-17,NA
08205,curanilahue,2020-03-17,NA
08301,los angeles,2020-03-17,0.012987012987012991
08303,cabrero,2020-03-17,NA
08305,mulchen,2020-03-17,NA
08312,tucapel,2020-03-17,NA
08313,yumbel,2020-03-17,NA
09101,temuco,2020-03-17,0.3372060372060372
09110,melipeuco,2020-03-17,NA
09112,padre las casas,2020-03-17,0.32142857142857145
09114,pitrufquen,2020-03-17,NA
09115,pucon,2020-03-17,NA
09119,vilcun,2020-03-17,NA
09201,angol,2020-03-17,NA
09202,collipulli,2020-03-17,NA
09211,victoria,2020-03-17,NA
10101,puerto montt,2020-03-17,0
10105,frutillar,2020-03-17,NA
10106,los muermos,2020-03-17,NA
10301,osorno,2020-03-17,0.04761904761904762
10304,puyehue,2020-03-17,NA
10401,chaiten,2020-03-17,NA
11101,coyhaique,2020-03-17,0
11201,aisen,2020-03-17,NA
12101,punta arenas,2020-03-17,0.12476190476190475
13101,santiago,2020-03-17,0.2301098901098901
13102,cerrillos,2020-03-17,NA
13103,cerro navia,2020-03-17,NA
13104,conchali,2020-03-17,NA
13105,el bosque,2020-03-17,NA
13106,estacion central,2020-03-17,NA
13107,huechuraba,2020-03-17,0.12521008403361342
13108,independencia,2020-03-17,NA
13109,la cisterna,2020-03-17,0.056122448979591844
13110,la florida,2020-03-17,0.10721874616611458
13111,la granja,2020-03-17,NA
13112,la pintana,2020-03-17,NA
13113,la reina,2020-03-17,0.1906565656565657
13114,las condes,2020-03-17,0.1561416351863856
13115,lo barnechea,2020-03-17,0.21674164809136606
13116,lo espejo,2020-03-17,NA
13117,lo prado,2020-03-17,NA
13118,macul,2020-03-17,NA
13119,maipu,2020-03-17,0.04150197628458498
13120,nunoa,2020-03-17,0.20459320091673033
13121,pedro aguirre cerda,2020-03-17,NA
13122,penalolen,2020-03-17,0.10936147186147184
